연번,상가유형,호선,역명,상가번호,면적,영업업종,계약시작,계약종료,임대료(원)
1079,67일괄,6호선,안암역,639-103,31,,,,
1080,67일괄,6호선,안암역,639-104,31,,,,
1081,67일괄,6호선,안암역,639-105,17,,,,
1082,네트워크,6호선,안암역,639-201,42.2,편의점,2016-07-25,2021-11-17,14660052
1083,공실,6호선,안암역,639-202,40.99,,,,
1084,공실,6호선,안암역,639-203,30,,,,
1085,67일괄,6호선,안암역,639-204,27,,,,
1086,67일괄,6호선,안암역,639-205,32,,,,
1087,네트워크,6호선,고려대역,640-101,35,편의점,2016-07-25,2021-11-17,10602944
1088,67일괄,6호선,고려대역,640-102,38.4,,,,
1089,67일괄,6호선,고려대역,640-103,63,,,,
1090,67일괄,6호선,고려대역,640-104,37,,,,
1091,67일괄,6호선,고려대역,640-105,25,,,,
1092,네트워크,6호선,월곡역,641-101,35,편의점,2016-07-25,2021-11-17,11260826
1093,67일괄,6호선,월곡역,641-102,27,,,,
1094,67일괄,6호선,월곡역,641-103,30,,,,
1095,개별(일반),6호선,월곡역,641-201,31.83,분식(어묵),2018-11-27,2023-12-26,1050000
1096,67일괄,6호선,월곡역,641-202,16,,,,
1097,67일괄,6호선,월곡역,641-203,58,,,,
1098,67일괄,6호선,월곡역,641-204,85,,,,
1099,네트워크,6호선,상월곡역,642-201,38.4,편의점,2016-07-25,2021-11-17,4299077
1100,공실,6호선,상월곡역,642-203,40,,,,
1101,공실,6호선,상월곡역,642-204,39,,,,
1102,공실,6호선,상월곡역,642-205,95,,,,
1103,네트워크,6호선,돌곶이역,643-101,37.8,편의점,2016-07-25,2021-11-17,8738785
1104,67일괄,6호선,돌곶이역,643-102,53,,,,
1105,67일괄,6호선,돌곶이역,643-103,30,,,,
1106,개별(일반),6호선,돌곶이역,643-104,41,의류,2020-07-24,2025-08-23,3270000
1107,67일괄,6호선,돌곶이역,643-105,22,,,,
1108,67일괄,6호선,돌곶이역,643-106,15,,,,
1109,67일괄,6호선,돌곶이역,643-107,37,,,,
1110,공실,6호선,석계역,644-102,72,,,,
1111,공실,6호선,석계역,644-103,17,,,,
1112,공실,6호선,석계역,644-104,17,,,,
1113,공실,6호선,석계역,644-105,17,,,,
1114,공실,6호선,석계역,644-106,33,,,,
1115,공실,6호선,석계역,644-107,29,,,,
1116,네트워크,6호선,석계역,644-202,25.7,제과,2016-06-07,2021-08-06,4900302
1117,네트워크,6호선,석계역,644-205,58,편의점,2016-07-25,2021-11-17,16162081
1118,공실,6호선,석계역,644-206,64,,,,
1119,공실,6호선,석계역,644-207,63,,,,
1120,공실,6호선,석계역,644-208,66,,,,
1121,공실,6호선,석계역,644-209,30,,,,
1122,공실,6호선,석계역,644-210,49,,,,
1123,공실,6호선,석계역,644-211,33,,,,
1124,공실,6호선,석계역,644-212,33,,,,
1125,공실,6호선,태릉입구(6)역,645-101,22.97,,,,
1126,개별(일반),6호선,태릉입구(6)역,645-103,31.5,의류,2019-10-29,2024-11-27,1290000
1127,개별(일반),6호선,태릉입구(6)역,645-104,40,의류,2019-11-12,2024-12-11,1680000
1128,개별(일반),6호선,태릉입구(6)역,645-106,36,베이커리(완제품),2021-01-15,2026-03-01,729000
1129,67일괄,6호선,태릉입구(6)역,645-109,39,,,,
1130,67일괄,6호선,태릉입구(6)역,645-110,78,,,,
1131,67일괄,6호선,태릉입구(6)역,645-112,38,,,,
1132,개별(일반),6호선,태릉입구(6)역,645-113,33,잡화,2020-07-23,2025-08-22,1483300
1133,67일괄,6호선,태릉입구(6)역,645-114,97,,,,
1134,네트워크,6호선,태릉입구(6)역,645-301,27.27,의류,2018-05-12,2023-07-10,2212067
1135,네트워크,6호선,화랑대역,646-101,30,편의점,2016-07-25,2021-11-17,7478862
1136,개별(일반),6호선,화랑대역,646-102,34.6,낙찰,,,
1137,개별(일반),6호선,화랑대역,646-103,32,의류,2019-09-23,2024-09-22,1130000
1138,67일괄,6호선,화랑대역,646-104,50,,,,
1139,67일괄,6호선,화랑대역,646-105,30,,,,
1140,개별(일반),6호선,화랑대역,646-106,28,제빵,2020-07-06,2025-08-05,4014800
1141,67일괄,6호선,화랑대역,646-107,35,,,,
1142,네트워크,6호선,봉화산역,647-101,47,편의점,2016-07-25,2021-11-17,6932114
1143,67일괄,6호선,봉화산역,647-102,87,,,,
1144,67일괄,6호선,봉화산역,647-103,87,,,,
1145,67일괄,6호선,봉화산역,647-104,33,,,,
1146,67일괄,6호선,봉화산역,647-105,33,,,,
1147,67일괄,6호선,봉화산역,647-106,34,,,,
1148,개별(일반),6호선,봉화산역,647-107,27,제과(호두과자),2020-07-06,2025-08-05,1130000
1149,67일괄,7호선,도봉산역,710-006,36,,,,
1150,개별(일반),7호선,도봉산역,710-007,44,제과,2020-07-24,2025-08-23,1110000
1151,개별(일반),7호선,도봉산역,710-008,38,분식(어묵),2020-07-02,2025-08-01,1083300
1152,개별(대형),7호선,수락산역,711-102,121.47,사무실,2019-05-08,2024-06-06,420000
1153,개별(일반),7호선,수락산역,711-201,40.08,건강식품,2019-12-21,2025-01-19,1150000
1154,네트워크,7호선,수락산역,711-202,37.88,편의점,2020-02-13,2025-04-12,8858850
1155,개별(일반),7호선,수락산역,711-203,56.48,의류,2019-10-29,2024-11-27,1670000
1156,67일괄,7호선,수락산역,711-204,44,,,,
1157,67일괄,7호선,수락산역,711-205,43,,,,
1158,개별(일반),7호선,수락산역,711-206,44,제과(호두과자),2020-07-02,2025-08-01,1271200
1159,개별(일반),7호선,수락산역,711-207,58,농산물,2020-07-02,2025-08-01,1767700
1160,공실,7호선,수락산역,711-209,100,,,,
1161,개별(일반),7호선,마들역,712-101,33,꽃집,2020-05-29,2025-06-28,466600
1162,개별(일반),7호선,마들역,712-102,33,의류,2019-10-29,2024-11-27,500000
1163,개별(일반),7호선,마들역,712-108,33,기념용품,2020-06-15,2025-07-15,500000
1164,공실,7호선,마들역,712-109,33,,,,
1165,공실,7호선,마들역,712-110,33.25,,,,
1166,네트워크,7호선,마들역,712-111,33.11,편의점,2020-02-13,2025-04-12,6137560
1167,네트워크,7호선,마들역,712-113,230.7,공유오피스,2021-05-07,2026-11-03,2120183
1168,개별(일반),7호선,마들역,712-105,33,문화복지,2020-03-02,2025-05-01,2466000
1169,개별(일반),7호선,마들역,712-106,33,문화복지,2020-03-02,2025-05-01,
1170,개별(일반),7호선,마들역,712-107,33,문화복지,2020-03-02,2025-05-01,
1171,개별(일반),7호선,마들역,712-114,33,문화복지,2020-03-02,2025-05-01,
1172,개별(일반),7호선,마들역,712-115,33,문화복지,2020-03-02,2025-05-01,
1173,개별(일반),7호선,마들역,712-116,45,문화복지,2020-03-02,2025-05-01,
1174,개별(일반),7호선,마들역,712-117,35,문화복지,2020-03-02,2025-05-01,
1175,개별(일반),7호선,마들역,712-118,35,문화복지,2020-03-02,2025-05-01,
1176,개별(일반),7호선,마들역,712-119,36,문화복지,2020-03-02,2025-05-01,
1177,개별(일반),7호선,마들역,712-120,31,문화복지,2020-03-02,2025-05-01,
1178,공실,7호선,마들역,712-202,45,,,,
1179,공실,7호선,마들역,712-203,45,,,,
1180,개별(일반),7호선,마들역,712-204,20,의류,2020-07-02,2025-08-01,648100
1181,복합,7호선,노원(7)역,713-101,36.4,베이커리,2016-07-08,2021-11-06,27943265
1182,복합,7호선,노원(7)역,713-102,29,식음,2016-07-08,2021-11-06,
1183,복합,7호선,노원(7)역,713-103,29,액세서리,2016-07-08,2021-11-06,
1184,복합,7호선,노원(7)역,713-104,51,의류,2016-07-08,2021-11-06,
1185,복합,7호선,노원(7)역,713-106,24,의류,2016-07-08,2021-11-06,
1186,복합,7호선,노원(7)역,713-107,28.3,분식,2016-07-08,2021-11-06,
1187,복합,7호선,노원(7)역,713-108,32.5,식음,2016-07-08,2021-11-06,
1188,복합,7호선,노원(7)역,713-109,33.6,의류,2016-07-08,2021-11-06,
1189,복합,7호선,노원(7)역,713-110,33.6,농특산물,2016-07-08,2021-11-06,
1190,복합,7호선,노원(7)역,713-111,33.6,액세서리,2016-07-08,2021-11-06,
1191,복합,7호선,노원(7)역,713-112,33.6,의류,2016-07-08,2021-11-06,
1192,복합,7호선,노원(7)역,713-113,33.6,액세서리,2016-07-08,2021-11-06,
1193,복합,7호선,노원(7)역,713-114,41,의류,2016-07-08,2021-11-06,
1194,복합,7호선,노원(7)역,713-115,18,의류,2016-07-08,2021-11-06,
1195,복합,7호선,노원(7)역,713-117,45,화장품,2016-07-08,2021-11-06,
1196,복합,7호선,노원(7)역,713-118,33,액세서리,2016-07-08,2021-11-06,
1197,네트워크,7호선,노원(7)역,713-116,55.15,편의점,2020-02-13,2025-04-12,19781190
1198,개별(일반),7호선,노원(7)역,713-120,17,의류,2020-07-02,2025-08-01,2560000
1199,개별(일반),7호선,노원(7)역,713-121,24,의류,2020-06-29,2025-07-29,2510000
1200,67일괄,7호선,노원(7)역,713-202,40,,,,
1201,67일괄,7호선,노원(7)역,713-203,37,,,,
1202,개별(일반),7호선,노원(7)역,713-255,52,사무실,2020-02-01,2025-01-31,599400
1203,67일괄,7호선,중계역,714-101,30.6,,,,
1204,개별(대형),7호선,중계역,714-102,105.6,식음료,2019-09-23,2024-09-22,4560000
1205,67일괄,7호선,중계역,714-104,17,,,,
1206,네트워크,7호선,중계역,714-201,32.91,편의점,2020-02-13,2025-04-12,8936070
1207,67일괄,7호선,중계역,714-203,30,,,,
1208,67일괄,7호선,중계역,714-204,34,,,,
1209,67일괄,7호선,중계역,714-205,41,,,,
1210,67일괄,7호선,중계역,714-206,59,,,,
1211,67일괄,7호선,중계역,714-207,50,,,,
1212,개별(일반),7호선,하계역,715-101,55.01,제과,2019-12-18,2024-12-17,7260000
1213,네트워크,7호선,하계역,715-102,40.8,편의점,2020-02-13,2025-04-12,14478750
1214,개별(일반),7호선,하계역,715-103,36.57,제과제빵,2019-10-08,2024-11-06,4310000
1215,67일괄,7호선,하계역,715-104,65,,,,
1216,67일괄,7호선,하계역,715-106,32,,,,
1217,67일괄,7호선,하계역,715-107,32,,,,
1218,개별(일반),7호선,하계역,715-108,26,액세서리,2020-07-01,2025-07-31,2250000
1219,개별(일반),7호선,하계역,715-109,70,의류,2020-06-30,2025-07-30,4770000
1220,67일괄,7호선,하계역,715-110,47,,,,
1221,67일괄,7호선,하계역,715-111,33,,,,
1222,네트워크,7호선,공릉역,716-101,29.88,액세서리,2018-05-09,2023-07-07,1767769
1223,네트워크,7호선,공릉역,716-102,28.91,편의점,2020-02-13,2025-04-12,7699120
1224,개별(일반),7호선,공릉역,716-103,29.42,의류,2019-10-05,2024-11-03,3230000
1225,개별(일반),7호선,공릉역,716-104,30,의류,2020-07-01,2025-07-31,2300000
1226,개별(일반),7호선,공릉역,716-105,50,제과,2020-07-01,2025-07-31,3600000
1227,67일괄,7호선,공릉역,716-106,40,,,,
1228,네트워크,7호선,태릉입구(7)역,717-102,37.14,편의점,2020-02-13,2025-04-12,9603880
1229,67일괄,7호선,태릉입구(7)역,717-105,31,,,,
1230,67일괄,7호선,태릉입구(7)역,717-112,33,,,,
1231,개별(일반),7호선,태릉입구(7)역,717-302,59,의류,2018-02-23,2023-03-24,8630000
1232,개별(일반),7호선,태릉입구(7)역,717-303,59,의류,2018-02-23,2023-03-24,8630000
1233,67일괄,7호선,태릉입구(7)역,717-304,50,,,,
1234,67일괄,7호선,태릉입구(7)역,717-305,40,,,,
1235,개별(일반),7호선,태릉입구(7)역,717-307,45,의류,2020-07-23,2025-08-22,2033300
1236,67일괄,7호선,먹골역,718-101,48,,,,
1237,67일괄,7호선,먹골역,718-109,34,,,,
1238,네트워크,7호선,먹골역,718-201,24.38,편의점,2020-02-13,2025-04-12,6181890
1239,67일괄,7호선,먹골역,718-202,58,,,,
1240,67일괄,7호선,먹골역,718-203,57,,,,
1241,공실,7호선,먹골역,718-204,50,,,,
1242,67일괄,7호선,먹골역,718-205,35,,,,
1243,67일괄,7호선,먹골역,718-206,35,,,,
1244,네트워크,7호선,중화역,719-101,29.7,편의점,2020-02-13,2025-04-12,7671950
1245,개별(일반),7호선,중화역,719-102,39.02,의류,2020-03-12,2025-04-11,3560000
1246,복합,7호선,중화역,719-103,28.43,신발,2017-03-20,2022-06-18,13013482
1247,복합,7호선,중화역,719-104,39.57,의류,2017-03-20,2022-06-18,
1248,복합,7호선,중화역,719-105,37.38,제과,2017-03-20,2022-06-18,
1249,복합,7호선,중화역,719-106,95.23,의류,2017-03-20,2022-06-18,
1250,개별(일반),7호선,중화역,719-109,30,의류,2020-04-17,2025-05-17,2789300
1251,67일괄,7호선,중화역,719-112,44,,,,
1252,67일괄,7호선,중화역,719-113,50,,,,
1253,67일괄,7호선,중화역,719-114,18,,,,
1254,67일괄,7호선,중화역,719-115,45,,,,
1255,공실,7호선,중화역,719-201,48,,,,
1256,67일괄,7호선,중화역,719-202,70,,,,
1257,67일괄,7호선,중화역,719-203,50,,,,
1258,67일괄,7호선,상봉역,720-102,60,,,,
1259,개별(일반),7호선,상봉역,720-201,43.09,액세서리,2018-09-28,2023-11-26,4246900
1260,네트워크,7호선,상봉역,720-202,45.48,편의점,2020-02-13,2025-04-12,13788060
1261,67일괄,7호선,상봉역,720-203,74,,,,
1262,67일괄,7호선,상봉역,720-204,53,,,,
1263,67일괄,7호선,상봉역,720-205,52,,,,
1264,67일괄,7호선,상봉역,720-206,78,,,,
1265,네트워크,7호선,면목역,721-101,29,의류,2018-05-09,2023-07-07,2132026
1266,네트워크,7호선,면목역,721-102,36.08,편의점,2020-02-13,2025-04-12,10569130
1267,개별(일반),7호선,면목역,721-103,32,제과,2020-06-08,2025-07-08,4500000
1268,개별(일반),7호선,면목역,721-104,16.8,의류,2019-09-20,2024-10-19,1850000
1269,67일괄,7호선,면목역,721-105,24,,,,
1270,67일괄,7호선,면목역,721-106,78,,,,
1271,67일괄,7호선,면목역,721-108,52,,,,
1272,67일괄,7호선,면목역,721-109,53,,,,
1273,67일괄,7호선,면목역,721-110,107,,,,
1274,개별(일반),7호선,면목역,721-301,64,제과,2019-09-23,2024-09-22,4500300
1275,복합,7호선,면목역,721-302,45.56,의류,2017-03-20,2022-06-18,8706792
1276,복합,7호선,면목역,721-303,55.05,의류,2017-03-20,2022-06-18,
1277,복합,7호선,면목역,721-304,16.93,제과,2017-03-20,2022-06-18,
1278,복합,7호선,면목역,721-305,16.68,제과,2017-03-20,2022-06-18,
1279,67일괄,7호선,사가정역,722-102,58,,,,
1280,67일괄,7호선,사가정역,722-103,112,,,,
1281,67일괄,7호선,사가정역,722-104,46,,,,
1282,개별(일반),7호선,사가정역,722-301,21.9,사무실,2019-05-21,2024-06-19,233500
1283,네트워크,7호선,사가정역,722-302,32.21,편의점,2020-02-13,2025-04-12,11204050
1284,복합,7호선,사가정역,722-303,26.03,의류,2017-03-20,2022-06-18,15254726
1285,복합,7호선,사가정역,722-304,25.64,의류,2017-03-20,2022-06-18,
1286,복합,7호선,사가정역,722-305,106.54,의류(액세서리),2017-03-20,2022-06-18,
1287,복합,7호선,사가정역,722-306,41.82,의류(잡화),2017-03-20,2022-06-18,
1288,복합,7호선,사가정역,722-307,35.13,의류,2017-03-20,2022-06-18,
1289,67일괄,7호선,사가정역,722-309,93,,,,
1290,네트워크,7호선,용마산역,723-101,28.8,편의점,2020-02-13,2025-04-12,5070780
1291,67일괄,7호선,용마산역,723-105,66,,,,
1292,개별(일반),7호선,용마산역,723-106,36,성문화센터(사무실),2020-11-18,2025-12-18,1382400
1293,개별(일반),7호선,용마산역,723-107,35,성문화센터(사무실),2020-11-18,2025-12-18,
1294,67일괄,7호선,용마산역,723-301,55,,,,
1295,67일괄,7호선,용마산역,723-302,55,,,,
1296,개별(일반),7호선,용마산역,723-303,58,성문화센터(사무실),2020-11-18,2025-12-18,
1297,네트워크,7호선,중곡역,724-101,35.16,편의점,2020-02-13,2025-04-12,5995990
1298,개별(일반),7호선,중곡역,724-201,46.99,의류,2020-10-23,2025-11-22,2500300
1299,67일괄,7호선,중곡역,724-202,46,,,,
1300,67일괄,7호선,중곡역,724-203,14,,,,
1301,네트워크,7호선,군자(7)역,725-101,54.82,편의점,2020-02-13,2025-04-12,14890590
1302,공실,7호선,군자(7)역,725-102,43,,,,
1303,67일괄,7호선,군자(7)역,725-103,40,,,,
1304,67일괄,7호선,군자(7)역,725-104,50,,,,
1305,67일괄,7호선,군자(7)역,725-105,55,,,,
1306,네트워크,7호선,군자(7)역,725-301,33.9,의류,2018-05-12,2023-07-10,2618429
1307,네트워크,7호선,군자(7)역,725-302,86.95,의류,2018-05-09,2023-07-07,3196209
1308,67일괄,7호선,군자(7)역,725-303,32.7,,,,
1309,네트워크,7호선,군자(7)역,725-304,20,제과전문점,2021-02-25,2026-04-26,4336640
1310,67일괄,7호선,군자(7)역,725-305,24.24,,,,
1311,개별(일반),7호선,군자(7)역,725-306,23.5,제과(호두과자),2019-12-21,2025-01-19,5032000
1312,67일괄,7호선,군자(7)역,725-307,33,,,,
1313,67일괄,7호선,군자(7)역,725-308,27,,,,
1314,67일괄,7호선,군자(7)역,725-309,31,,,,
1315,67일괄,7호선,군자(7)역,725-310,27,,,,
1316,네트워크,7호선,어린이대공원역,726-101,35.6,편의점,2020-02-13,2025-04-12,12632620
1317,67일괄,7호선,어린이대공원역,726-102,18.48,,,,
1318,공실,7호선,어린이대공원역,726-103,34.61,,,,
1319,67일괄,7호선,어린이대공원역,726-104,70,,,,
1320,67일괄,7호선,어린이대공원역,726-105,60,,,,
1321,67일괄,7호선,어린이대공원역,726-106,58,,,,
1322,67일괄,7호선,어린이대공원역,726-201,37,,,,
1323,67일괄,7호선,어린이대공원역,726-202,37,,,,
1324,67일괄,7호선,어린이대공원역,726-203,56,,,,
1325,67일괄,7호선,어린이대공원역,726-204,46,,,,
1326,67일괄,7호선,어린이대공원역,726-205,30,,,,
1327,67일괄,7호선,어린이대공원역,726-206,22,,,,
1328,개별(대형),7호선,건대입구(7)역,727-101,867.64,문구,2020-09-15,2025-09-14,18989000
1329,개별(일반),7호선,건대입구(7)역,727-201,76,약국,2020-01-09,2025-02-07,25650000
1330,네트워크,7호선,건대입구(7)역,727-202,37.36,편의점,2020-02-13,2025-04-12,13409110
1331,67일괄,7호선,건대입구(7)역,727-204,75,,,,
1332,67일괄,7호선,건대입구(7)역,727-205,30,,,,
1333,67일괄,7호선,건대입구(7)역,727-206,29,,,,
1334,67일괄,7호선,건대입구(7)역,727-301,26,,,,
1335,67일괄,7호선,건대입구(7)역,727-302,32,,,,
1336,네트워크,7호선,뚝섬유원지역,728-001,29.89,편의점,2020-02-13,2025-04-12,5262400
1337,67일괄,7호선,청담역,729-103,33,,,,
1338,67일괄,7호선,청담역,729-104,81,,,,
1339,67일괄,7호선,청담역,729-301,69.7,,,,
1340,개별(일반),7호선,청담역,729-303,97.44,푸른마을,2017-09-01,2022-10-31,2819712
1341,네트워크,7호선,청담역,729-306,65.36,제과전문점,2021-02-25,2026-04-26,3417040
1342,개별(일반),7호선,청담역,729-307,37.11,의류,2021-03-18,2026-04-17,1500200
1343,네트워크,7호선,청담역,729-308,52.34,편의점,2020-02-13,2025-04-12,16639480
1344,개별(일반),7호선,청담역,729-326,35.2,농산물,2019-09-23,2024-09-22,1301600
1345,67일괄,7호선,청담역,729-327,154.27,,,,
1346,공실,7호선,청담역,729-331,25,,,,
1347,공실,7호선,청담역,729-332,43,,,,
1348,67일괄,7호선,청담역,729-333,55,,,,
1349,67일괄,7호선,청담역,729-334,35,,,,
1350,공실,7호선,청담역,729-335,43,,,,
1351,67일괄,7호선,청담역,729-340,99,,,,
1352,67일괄,7호선,청담역,729-377,25,,,,
1353,67일괄,7호선,청담역,729-378,54,,,,
1354,네트워크,7호선,강남구청역,730-101,63.8,편의점,2020-02-13,2025-04-12,16140410
1355,개별(대형),7호선,강남구청역,730-102,355.7,의원,2019-04-22,2024-07-20,4901000
1356,복합,7호선,강남구청역,730-103,472,멀티편의공간(다이소 및 카페),2015-12-28,2021-02-26,16834400
1357,복합,7호선,강남구청역,730-104,,멀티편의공간(다이소 및 카페),2015-12-28,2021-02-26,
1358,복합,7호선,강남구청역,730-105,,멀티편의공간(다이소 및 카페),2015-12-28,2021-02-26,
1359,복합,7호선,강남구청역,730-106,,멀티편의공간(다이소 및 카페),2015-12-28,2021-02-26,
1360,복합,7호선,강남구청역,730-107,,멀티편의공간(다이소 및 카페),2015-12-28,2021-02-26,
1361,복합,7호선,강남구청역,730-108,,멀티편의공간(다이소 및 카페),2015-12-28,2021-02-26,
1362,복합,7호선,강남구청역,730-109,,멀티편의공간(다이소 및 카페),2015-12-28,2021-02-26,
1363,복합,7호선,강남구청역,730-110,,멀티편의공간(다이소 및 카페),2015-12-28,2021-02-26,
1364,개별(일반),7호선,강남구청역,730-111,22,약국,2019-04-19,2024-07-17,3010000
1365,공실,7호선,강남구청역,730-201,73.3,,,,
1366,네트워크,7호선,강남구청역,730-202,57,액세서리,2018-05-09,2023-07-07,4388000
1367,개별(일반),7호선,강남구청역,730-204,9.2,의류,2017-04-14,2022-05-14,930998
1368,개별(일반),7호선,강남구청역,730-205,28,의류,2019-10-24,2024-11-22,2000000
1369,67일괄,7호선,강남구청역,730-206,55,,,,
1370,67일괄,7호선,강남구청역,730-207,30,,,,
1371,67일괄,7호선,강남구청역,730-208,36,,,,
1372,67일괄,7호선,강남구청역,730-209,36,,,,
1373,67일괄,7호선,강남구청역,730-210,41,,,,
1374,67일괄,7호선,강남구청역,730-211,41,,,,
1375,67일괄,7호선,학동역,731-102,16,,,,
1376,네트워크,7호선,학동역,731-201,55.45,편의점,2020-02-13,2025-04-12,15504060
1377,개별(일반),7호선,학동역,731-202,16.4,의류,2018-08-14,2023-09-12,2106500
1378,개별(일반),7호선,학동역,731-203,17.54,제과,2019-12-21,2025-01-19,4680000
1379,개별(일반),7호선,학동역,731-205,31.39,의류,2020-02-24,2025-03-25,2683000
1380,개별(일반),7호선,학동역,731-206,29.44,의류,2019-09-20,2024-10-19,4001000
1381,네트워크,7호선,학동역,731-208,58,액세서리,2018-05-09,2023-07-07,4244489
1382,공실,7호선,학동역,731-209,68.55,,,,
1383,67일괄,7호선,학동역,731-210,51,,,,
1384,67일괄,7호선,학동역,731-211,25,,,,
1385,67일괄,7호선,학동역,731-212,44,,,,
1386,67일괄,7호선,학동역,731-213,41,,,,
1387,67일괄,7호선,학동역,731-214,42,,,,
1388,67일괄,7호선,학동역,731-215,41,,,,
1389,67일괄,7호선,학동역,731-216,21,,,,
1390,네트워크,7호선,논현역,732-101,57.7,의류,2018-05-09,2023-07-07,5189834
1391,개별(일반),7호선,논현역,732-102,63.44,분식,2019-12-10,2025-01-08,5606500
1392,개별(일반),7호선,논현역,732-103,37.8,의류(언더웨어),2017-03-09,2022-04-08,3530000
1393,네트워크,7호선,논현역,732-104,44.65,편의점,2020-02-13,2025-04-12,13317590
1394,공실,7호선,논현역,732-105,33.6,,,,
1395,67일괄,7호선,논현역,732-107,35,,,,
1396,67일괄,7호선,논현역,732-108,29,,,,
1397,네트워크,7호선,논현역,732-201,29.92,제과,2016-05-27,2021-07-26,5482433
1398,개별(일반),7호선,논현역,732-202,30,의류,2018-02-23,2024-03-24,6820000
1399,네트워크,7호선,논현역,732-203,23,화장품(HB),2020-12-23,2026-03-23,2077017
1400,67일괄,7호선,논현역,732-207,50,,,,
1401,67일괄,7호선,논현역,732-208,50,,,,
1402,67일괄,7호선,논현역,732-209,33,,,,
1403,67일괄,7호선,논현역,732-210,25,,,,
1404,67일괄,7호선,논현역,732-211,46,,,,
1405,67일괄,7호선,논현역,732-212,75,,,,
1406,복합,7호선,반포역,733-111,1260.58,피트니스,2017-12-02,2023-03-01,15229200
1407,복합,7호선,반포역,733-112,,세탁방,2017-12-02,2023-03-01,
1408,복합,7호선,반포역,733-113,,커피숍,2017-12-02,2023-03-01,
1409,복합,7호선,반포역,733-114,,사무실,2017-12-02,2023-03-01,
1410,복합,7호선,반포역,733-115,,스터디카페,2017-12-02,2023-03-01,
1411,복합,7호선,반포역,733-102,277.14,헬스 및 VR,2017-12-02,2023-03-01,
1412,복합,7호선,반포역,733-103,75.48,헬스 및 VR,2017-12-02,2023-03-01,
1413,개별(일반),7호선,반포역,733-138,40,의류,2020-06-04,2025-07-04,2700000
1414,네트워크,7호선,반포역,733-154,40.36,편의점,2020-02-13,2025-04-12,7854990
1415,67일괄,7호선,반포역,733-156,30,,,,
1416,67일괄,7호선,반포역,733-201,43,,,,
1417,67일괄,7호선,반포역,733-202,42,,,,
1418,개별(일반),7호선,고속터미널(7)역,734-101,556,청년취업플랫폼,2021-01-05,2026-04-05,6666600
1419,67일괄,7호선,고속터미널(7)역,734-140,95,,,,
1420,67일괄,7호선,고속터미널(7)역,734-142,44,,,,
1421,개별(일반),7호선,고속터미널(7)역,734-201,44,농산물,2019-06-25,2024-07-24,3020000
1422,복합,7호선,고속터미널(7)역,734-202,123.69,액세서리,2017-06-09,2022-11-06,145000000
1423,복합,7호선,고속터미널(7)역,734-203,,의류,2017-06-09,2022-11-06,
1424,복합,7호선,고속터미널(7)역,734-204,,고속터미널 복합상가,2017-06-09,2022-11-06,
1425,복합,7호선,고속터미널(7)역,734-205,44.31,의류(언더웨어),2017-06-09,2022-11-06,
1426,복합,7호선,고속터미널(7)역,734-206,62.77,고속터미널 복합상가,2017-06-09,2022-11-06,
1427,복합,7호선,고속터미널(7)역,734-207,,식음(분식),2017-06-09,2022-11-06,
1428,복합,7호선,고속터미널(7)역,734-208,,커피음료,2017-06-09,2022-11-06,
1429,복합,7호선,고속터미널(7)역,734-210,231.28,고속터미널 복합상가,2017-06-09,2022-11-06,
1430,복합,7호선,고속터미널(7)역,734-211,,고속터미널 복합상가,2017-06-09,2022-11-06,
1431,복합,7호선,고속터미널(7)역,734-212,,고속터미널 복합상가,2017-06-09,2022-11-06,
1432,복합,7호선,고속터미널(7)역,734-213,,고속터미널 복합상가,2017-06-09,2022-11-06,
1433,복합,7호선,고속터미널(7)역,734-214,376.56,고속터미널 복합상가,2017-06-09,2022-11-06,
1434,개별(일반),7호선,고속터미널(7)역,734-209,360,농특산물 판매,2020-07-01,2025-09-28,5300000
1435,네트워크,7호선,고속터미널(7)역,734-215,60.27,편의점,2020-02-13,2025-04-12,23453430
1436,네트워크,7호선,고속터미널(7)역,734-216,71.53,제과,2016-06-07,2021-08-06,7470141
1437,개별(일반),7호선,내방역,735-101,45,액세서리,2017-03-09,2022-04-08,4200000
1438,네트워크,7호선,내방역,735-103,62.21,편의점,2020-02-13,2025-04-12,15240940
1439,개별(일반),7호선,내방역,735-201,30.78,제과,2020-03-13,2025-04-12,3730000
1440,67일괄,7호선,내방역,735-202,34,,,,
1441,67일괄,7호선,내방역,735-203,28,,,,
1442,67일괄,7호선,내방역,735-204,28,,,,
1443,개별(대형),7호선,이수(7)역,736-101,592,서점(카페포함),2018-12-20,2024-04-18,10552300
1444,공실,7호선,이수(7)역,736-102,48,,,,
1445,67일괄,7호선,이수(7)역,736-103,51,,,,
1446,67일괄,7호선,이수(7)역,736-104,51,,,,
1447,67일괄,7호선,이수(7)역,736-112,74,,,,
1448,공실,7호선,이수(7)역,736-301,24.01,,,,
1449,67일괄,7호선,이수(7)역,736-302,38.02,,,,
1450,67일괄,7호선,이수(7)역,736-303,129.35,,,,
1451,네트워크,7호선,이수(7)역,736-307,54.05,편의점,2020-02-13,2025-04-12,14677520
1452,개별(일반),7호선,이수(7)역,736-308,9.84,핸드폰액세서리,2020-03-02,2025-04-01,2250000
1453,네트워크,7호선,이수(7)역,736-310,27.22,제과전문점,2021-02-25,2026-04-26,4532176
1454,67일괄,7호선,이수(7)역,736-311,74.41,,,,
1455,네트워크,7호선,이수(7)역,736-313,22.5,플라워,2018-11-27,2024-01-25,1865759
